,review_id,business_id,user_id,stars,blob_polarity,review,label
299000,kv_djrXEuf-g-OOwogWhZQ,0qKruR3BiMaeb4grOdq7bg,eq3LIzMuxDaGar2px9EdOQ,1,-0.48828125,how can a post office doesn't provide a drop off box? waste of time!!!!,
299001,aUkeEbDUGfGTsr662ZLJiA,0qKruR3BiMaeb4grOdq7bg,Q_TtZmZQCKrkRzKmxKAQvg,1,-0.253888889,"every time i come to this location, it's not that very busy but for some reason the african american lady that's always in the middle must hate her life & job!!!!!!!!!!!!!!!!!! she never smiles, she's never happy, never willing to help anyone, very rude and over all just sad to see",
299002,aUkeEbDUGfGTsr662ZLJiA,0qKruR3BiMaeb4grOdq7bg,Q_TtZmZQCKrkRzKmxKAQvg,1,0,"for someone that has a government job should wake up in the morning ""thankful"" because, i know a lot of people that's been trying to work for the post office for years!",
299003,aUkeEbDUGfGTsr662ZLJiA,0qKruR3BiMaeb4grOdq7bg,Q_TtZmZQCKrkRzKmxKAQvg,1,0.4,"if you read this and know who i''m talking about, please fill free to leave a comment and validate what i'm talking about",
299004,CEv2LBI6C_OvGafp1IyL_w,0qKruR3BiMaeb4grOdq7bg,u-Q2HDyJKksNAm7sDdHfmA,1,0,10/23/15 8:30am visit: i go to pick up my mail at my po box and get a package pickup notice,
299005,CEv2LBI6C_OvGafp1IyL_w,0qKruR3BiMaeb4grOdq7bg,u-Q2HDyJKksNAm7sDdHfmA,1,0.05,"the windows don't open until 9am, so i'm waiting in the lobby with my 1year old daughter",
299006,CEv2LBI6C_OvGafp1IyL_w,0qKruR3BiMaeb4grOdq7bg,u-Q2HDyJKksNAm7sDdHfmA,1,0,i get in line and before they open approx 8:50am man walks in with his package pick up notice,
299007,CEv2LBI6C_OvGafp1IyL_w,0qKruR3BiMaeb4grOdq7bg,u-Q2HDyJKksNAm7sDdHfmA,1,0,"a clerk named vena says to him just package pick up sir? he says yes, i say to her i have one too as i get out of the line",
299008,CEv2LBI6C_OvGafp1IyL_w,0qKruR3BiMaeb4grOdq7bg,u-Q2HDyJKksNAm7sDdHfmA,1,-0.5,"she looks at my package notice as i follow her slams the door in my face!! so i get back in line and when it's my turn tell her, i was here at 8:30am and she argues with me in front of the guests! so unprofessional with terrible customer service vena! she tells me i wasn't there at 8:30?? yes i was and saw her get to work at 8:31, then she discriminates me by helping walk ins when i was there since 8:30",
299009,CEv2LBI6C_OvGafp1IyL_w,0qKruR3BiMaeb4grOdq7bg,u-Q2HDyJKksNAm7sDdHfmA,1,0.1,helping your favorites won't get you far,
299010,CEv2LBI6C_OvGafp1IyL_w,0qKruR3BiMaeb4grOdq7bg,u-Q2HDyJKksNAm7sDdHfmA,1,0,"i would like to see all guests treated equally and helped in the order they arrive in line, not pick and chose",
299011,#NAME?,0qKruR3BiMaeb4grOdq7bg,y-Tp66pScXAPqJiHZl4yvw,4,0.30625,this place seems a little understaffed but the service i received was great,
